"# Bank rate, Refinancing rate and Compulsory Reserve Ratio (in Percent)",,,,,
"Source: Nepal Rastra Bank, 2020, #In foreign currency add to LIBOR",,,,,
,,,,,
Instruments,2015/16,2016/17,2017/18,2018/19,2019/20
Bank Rate,7,7,7,6.5,5
Refinance Rate,,,,,
Special Refinances,1,1,1,1,1
General Refinances,4,4,4,4,3
Export Credit#,0.25,0.25,0.25,0.25,0.25
Cash Reserve Ratio(CRR),,,,,
Commercial Bank,6,6,6,4,3
Development Bank,5,5,5,4,3
Finance Company,4,4,4,4,3
Standing Liquidity Facility,,,,,
,8,7,7,6.5,5
Rate(SLFR),,,,,
