# Commercial banks (Class A),,,,,
# *Joint operation date after merger.,,,,,
"# Paid-up capital based on the financial statement of Mid Jan, 2021",,,,,
SN,Name,Operation Date (A.D.),Head Office,Paid up Capital,Working Area
1,Nepal Bank Ltd.,1937/11/15,"Dharmapath,Kathmandu",1263.68,National Level
2,Agriculture Development Bank Ltd.,1968/01/21,"Ramshahpath, Kathmandu",1642.26,National Level
3,Nabil Bank Ltd.,1984/07/12,"Beena Marg, Kathmandu",1348.02,National Level
4,Nepal Investment Bank Ltd.,1986/03/09,"Durbarmarg, Kathmandu",1424.9,National Level
5,Standard Chartered Bank Nepal Ltd.,1987/02/28,"Nayabaneshwor, Kathmandu",857.22,National Level
6,Himalayan Bank Ltd.,1993/01/18,"Kamaladi, Kathmandu",1068.44,National Level
7,Nepal SBI Bank Ltd.,1993/07/07,"Kesharmahal, Kathmandu",895.62,National Level
8,Nepal Bangaladesh Bank Ltd.,1994/06/06,"Kamaladi, Kathmandu",849.58,National Level
9,Everest Bank Ltd.,1994/10/18,"Lazimpat , Kathmandu",893.37,National Level
10,Kumari Bank Ltd.,2001/04/03,"Durbarmarg, Kathmandu",1387.85,National Level
11,Laxmi Bank Ltd.,2002/04/03,"Hattisar, Kathmandu",1069.57,National Level
12,Citizens Bank International Ltd.,2007/04/20,"Narayanhitipath, Kathmandu",981.7,National Level
13,Prime Commercial Bank Ltd.,2007/09/24,"Kamalpokhari, Kathmandu",1608.3,National Level
14,Sunrise Bank Ltd.,2007/10/12,"Gairidhara, Kathmandu",948.79,National Level
15,Century Commercial Bank Ltd.,2011/03/10,"Putalisadak , Kathmandu",903.44,National Level
16,Sanima Bank Ltd.,2012/02/15,"Nagpokhari,  Kathmandu",968.15,National Level
17,Machhapuchhre Bank Ltd.,2012/07/09*,"Lazimpat , Kathmandu",905.31,National Level
18,NIC Asia Bank Ltd.,2013/06/30*,"Thapathali, Kathmandu",1156.4,National Level
19,Global IME Bank Ltd.,2019/09/04*,"Kamaladi, Kathmandu",2163.25,National Level
20,NMB Bank Ltd.,2019/09/28*,"Babarmahal, Kathmandu",1444.78,National Level
21,Prabhu Bank Ltd.,2016/2/12*,"Babarmahal, Kathmandu",1134.71,National Level
22,Siddhartha Bank Ltd.,2016/7/21*,"Hattisar, Kathmandu",978.78,National Level
23,Bank of Kathmandu Ltd.,2016/7/14*,"Kamalpokhari, Kathmandu",965.82,National Level
24,Civil Bank Ltd.,2016/10/17*,"Kamaladi, Kathmandu",800.34,National Level
25,Nepal Credit and Commerce Bank Ltd.,2017/01/01*,"Bagbazar, Kathmandu",935.39,National Level
26,Rastriya Banijya Bank Ltd.,2018/05/02*,"Singhadurbarplaza,Kathmandu",900.48,National Level
27,Mega Bank Nepal Ltd.,2018/05/13*,"Kamaladi, Kathmandu",1465.5,National Level
