Description,FY2018/19,FY2019/20
1. Import Duties (Percent),"1,5, 10, 15, 20, 30, 80","1, 5, 10, 15, 20, 30,40, 80"
2. Export Duties (Percent),"0, 200","0, 200"
3. Excise (Percent),"5, 7, 10, 15, 30, 35, 40, 50, 55, 60, 65, 70, 80, 85, 90 and 100","2.5, 5, 7, 10, 15, 30, 35, 40, 50, 55, 60, 65, 70, 80, 85, 90 and 100"
4. VAT (Percent),13 Percent,13 Percent
5. Income Tax,,
(a) Exemption Threshold,,
(i) Individual,"Rs.3,50,000","Rs.4,00,000"
(ii) Couple or Family,"Rs.400,000","Rs.4,50,000"
(b) Tax Rates (percent),,
(i) Upto exemption threshold of taxable income from employment,1 percent,1 percent
(ii) After exemption threshold,"First Rs. 100,000; 10 percent","First Rs. 100,000; 10 percent"
,"Next Rs. 200,000; 20 percent","Next Rs. 200,000; 20 percent"
,On residual amount; 30 percent,On residual amount; 30 percent
,"Above Rs.2000,000; 36 percent","Above Rs.2000,000; 36 percent"
(a) Flat Rate on Corporate Net Income,,
(i) Banks and Financial Institutions,30 Percent,30 Percent
"(ii) Telecommunication & Internet, Remittance, Stockmarket, Merchant Banking and Commodity Broaker",30 percent,30 Percent
(ii) Others,25 Percent,25 Percent
(b) Partnership Firm,25 Percent,25 Percent
House Rent Tax,10 Percent,10 Percent
Meeting Allowance,15 Percent,15 Percent
Commission,15 Percent,15 Percent
"Lottery, Gift, Prize",25 Percent,25 Percent
Interest Tax,5 Percent,5 Percent
